Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path
اسماك الدمياطي,restaurant,64.0,4.4,46.7211105,24.6225201,Al Owd,العود,POINT (46.7211105 24.6225201),حي البطيحا,,العود,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العود.
مطعم بديع الجزيره اللبناني,restaurant,52.0,3.4,46.638467,24.5976085,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.638467 24.5976085),حي البديعة,,,
,restaurant,13.0,3.2,46.7168528,24.6469026,National Museum,المتحف الوطني,POINT (46.7168528 24.6469026),حي العمل,Special Inihaw Eastern,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.
,restaurant,84.0,4.1,46.775533,24.7781793,Al Hamra,الحمراء,POINT (46.775533 24.7781793),حي الحمراء,Koshary Cairo,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
,restaurant,173.0,4.2,46.6991958,24.6767635,Ministry of Interior,وزارة الداخلية,POINT (46.6991958 24.6767635),حي الوزارات,Aliwan Restaurant,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
هرفي,restaurant,32.0,3.8,46.6548831,24.6086521,Dhahrat Al Badiah,ظهره البديعة,POINT (46.6548831 24.6086521),حي البديعة,,,
,meal_delivery,495.0,4.3,46.7307162,24.7805577,Granadia,غرناطيّة,POINT (46.7307162 24.7805577),حي الشهداء,Texas Chicken Granada Mall,,
مطبخ زاوية الخيمة,restaurant,28.0,3.8,46.7957175,24.7805923,Al Khaleej,الخليج,POINT (46.7957175 24.7805923),حي اشبيلية,,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.
بوفية زهرة الرياض,restaurant,53.0,4.0,46.7757943,24.5628133,Ad Dar Al Baida,الدار البيضاء,POINT (46.7757943 24.5628133),حي الدار البيضاء,,الدار البيضاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الدار البيضاء.
,restaurant,697.0,4.5,46.6390302,24.7631218,KAFD,المركز المالي,POINT (46.6390302 24.7631218),حي الغدير,SUSHISAMBA Riyadh,المركز المالي,اركب المترو من المحطة الحالية، وأخرج عند محطة المركز المالي.
خلود كعبي للاسماك الطازجة,restaurant,51.0,4.0,46.7093326,24.6502747,Ministry of Finance,وزارة المالية,POINT (46.7093326 24.6502747),حي الوشام,,وزارة المالية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة المالية.
&,meal_takeaway,183.0,4.6,46.7948883,24.7508127,Al Andalus,الأندلس,POINT (46.7948883 24.7508127),حي المنار,Crunch More,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.
,night_club,183.0,4.6,46.6577785,24.7487273,King Fahd District,حي الملك فهد,POINT (46.6577785 24.7487273),حي النخيل,V Hookah,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.
,restaurant,9.0,4.6,46.7643222,24.5811558,Al Aziziah,العزيزية,POINT (46.7643222 24.5811558),حي العزيزية,Unique Burger,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.
,restaurant,174.0,4.3,46.6821702,24.7002337,Alinma Bank,مصرف الانماء,POINT (46.6821702 24.7002337),حي العليا,Flavours All Day Dining,,
مطعم ماي فود للحفلات,restaurant,4.0,5.0,46.7041503,24.7109378,Ad Dhabab,الضباب,POINT (46.7041503 24.7109378),حي الملك عبدالعزيز,,الضباب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة الضباب.
مطعم ناز البخاري,restaurant,420.0,3.6,46.6992833,24.7960418,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.6992833 24.7960418),حي الفلاح,,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
,restaurant,20.0,4.1,46.7889783,24.6835844,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.7889783 24.6835844),حي الروابي,ATAYEB ELFORN RESTAURANTS,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.
دلال لتقديم الوجبات,restaurant,5.0,5.0,46.7514722,24.7693611,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7514722 24.7693611),حي القدس,,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.
,restaurant,39.0,4.2,46.646271,24.5990308,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.646271 24.5990308),حي البديعة,Red Pepper Indian restaurant,,
ذا ماندارين لاونج,restaurant,186.0,4.4,46.6840483,24.690401,King Fahd Library,مكتبة الملك فهد,POINT (46.6840483 24.690401),حي العليا,The Mandarin Lounge,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.
,restaurant,215.0,4.1,46.796564,24.7611837,Al Andalus,الأندلس,POINT (46.796564 24.7611837),حي النهضة,Al Fajr Restaurant,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.
مطعم فطائر التنور,restaurant,383.0,4.1,46.6572554,24.7944337,Ar Rabi,الربيع,POINT (46.6572554 24.7944337),حي الربيع,,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.
,night_club,738.0,4.0,46.7108184,24.6564725,King Abdulaziz Hospital,مستشفى الملك عبدالعزيز,POINT (46.7108184 24.6564725),حي المربع,Aquarium Boutique Hotel,مستشفى الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة مستشفى الملك عبدالعزيز.
فطور بوفا,restaurant,263.0,4.5,46.7974235,24.6839571,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.7974235 24.6839571),حي الروابي,,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.
,restaurant,1945.0,3.9,46.7279447,24.6793653,Al Wizarat,الوزارات,POINT (46.7279447 24.6793653),حي الضباط,Yilmaz Restaurant,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات
,restaurant,3497.0,4.0,46.6815951,24.6868689,King Fahd Library,مكتبة الملك فهد,POINT (46.6815951 24.6868689),حي العليا,Almayass,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.
سوق الأسماك محار,restaurant,2.0,5.0,46.7107299,24.654317,Ministry of Finance,وزارة المالية,POINT (46.7107299 24.654317),حي المربع,,وزارة المالية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة المالية.
,restaurant,59.0,4.0,46.7105321,24.7479564,An Nuzhah,النزهة,POINT (46.7105321 24.7479564),حي صلاح الدين,Vittori Resturant,النزهة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة النزهة.
مطعم القحطاني البخاري,restaurant,145.0,3.9,46.7166073,24.6220438,Al Owd,العود,POINT (46.7166073 24.6220438),حي جبرة,,العود,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العود.
مطعم سوري فول و فلافل الصناعيه,restaurant,4.0,3.0,46.7388834,24.6388822,First Industrial City,المدينة الصناعية الأولى,POINT (46.7388834 24.6388822),حي الصناعية,,,
,restaurant,7.0,4.1,46.714524,24.6273831,Qasr Al Hokm,قصر الحكم,POINT (46.714524 24.6273831),حي القرى,Sadeeq Bofiya,قصر الحكم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة قصر الحكم.
بوفيه طعم الجرة,restaurant,2.0,5.0,46.7107072,24.6741194,Al Wizarat,الوزارات,POINT (46.7107072 24.6741194),حي الوزارات,,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات
,restaurant,741.0,3.8,46.6170099,24.5837589,Western Station,الغربية,POINT (46.6170099 24.5837589),حي العريجاء الغربي,Herfy,,
,restaurant,2301.0,4.2,46.6459141,24.5982236,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.6459141 24.5982236),حي البديعة,Feresca,,
پاکستانی مطعم,restaurant,7.0,4.7,46.7291183,24.6398675,As Salhiyah,الصالحية,POINT (46.7291183 24.6398675),حي ثليم,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
,restaurant,4.0,5.0,46.686229,24.6876307,King Fahd Library,مكتبة الملك فهد,POINT (46.686229 24.6876307),حي العليا,Afeef,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.
أسماك العجمي,restaurant,16.0,4.7,46.7184852,24.6105679,Manfouhah,منفوحة,POINT (46.7184852 24.6105679),حي منفوحة الجديدة,,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.
,restaurant,3.0,2.3,46.6199523,24.8218034,SAB,الأول,POINT (46.6199523 24.8218034),حي الصحافة,Kunafa,,
,restaurant,74.0,4.2,46.7169092,24.6446318,National Museum,المتحف الوطني,POINT (46.7169092 24.6446318),حي الفوطة,Canteen Express Batha,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.
,bakery,11158.0,4.2,46.7226815,24.6941192,Officers Club,نادي الضباط,POINT (46.7226815 24.6941192),حي الملك عبدالعزيز,Wooden Bakery,نادي الضباط,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة نادي الضباط.
مطعم ركن المغرف البخاري,restaurant,29.0,4.2,46.72285,24.6065634,Manfouhah,منفوحة,POINT (46.72285 24.6065634),حي اليمامة,,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.
,restaurant,5.0,1.8,46.7298896,24.6193503,Skirinah,سكيرينة,POINT (46.7298896 24.6193503),حي غبيرة,Matam yemeni,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.
& قدرة وفطير,restaurant,513.0,4.6,46.7117445,24.7079812,Ad Dhabab,الضباب,POINT (46.7117445 24.7079812),حي الملك عبدالعزيز,Qdrah Fteer,الضباب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة الضباب.
فوال دكة الطائف للأكلات الشعبية,restaurant,53.0,4.2,46.8472064,24.7150001,Hassan Bin Thabit street,شارع حسان بن ثابت,POINT (46.8472064 24.7150001),حي النسيم الغربي,,شارع حسان بن ثابت,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة شارع حسان بن ثابت.
,restaurant,3408.0,4.4,46.6744736,24.7114797,Al Urubah,العروبة,POINT (46.6744736 24.7114797),حي الجزيرة,Al Mamlaka Social Dining,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.
,restaurant,7125.0,4.1,46.7053057,24.7011578,Ad Dhabab,الضباب,POINT (46.7053057 24.7011578),حي الملك عبدالعزيز,San Carlo Cicchetti,الضباب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة الضباب.
بوفيه خرم,restaurant,2.0,3.0,46.7402428,24.634285,As Salhiyah,الصالحية,POINT (46.7402428 24.634285),حي الصناعية,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
,restaurant,1256.0,4.1,46.6790736,24.7420601,King Abdulaziz Road,طريق الملك عبدالعزيز,POINT (46.6790736 24.7420601),حي الورود,Applebee s,طريق الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة طريق الملك عبدالعزيز.
بوفية القحطاني,restaurant,12.0,3.2,46.77848,24.7741343,Al Hamra,الحمراء,POINT (46.77848 24.7741343),حي الحمراء,,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
فوال علدالله محمد سليمان الدرع,restaurant,1.0,5.0,46.696815,24.6594934,Passport Department,الجوازات,POINT (46.696815 24.6594934),حي النموذجية,,الجوازات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الجوازات.
,restaurant,310.0,4.4,46.6648363,24.7377813,King Fahd District 2,حي الملك فهد 2,POINT (46.6648363 24.7377813),حي الملك فيصل,KASA,حي الملك فهد 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد 2.
مشلتت نوال,restaurant,44.0,4.3,46.6409658,24.5991559,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.6409658 24.5991559),حي البديعة,,,
,restaurant,28.0,4.5,46.729197,24.6154221,Skirinah,سكيرينة,POINT (46.729197 24.6154221),حي منفوحة الجديدة,Agashi restaurant,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.
&,store,937.0,4.1,46.7104001,24.6654403,Al Muorabba,المربع,POINT (46.7104001 24.6654403),حي المربع,Red Cherry Indian Sweets Snacks,المربع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المربع.
,restaurant,93.0,4.3,46.7326666,24.6046788,Al Iman Hospital,مستشفى الايمان,POINT (46.7326666 24.6046788),حي منفوحة,Munchy's Broasted,,
تحالف القهوه,cafe,3568.0,4.3,46.6700427,24.7243049,Al Wurud 2,الورود 2,POINT (46.6700427 24.7243049),حي الجزيرة,,الورود 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الورود 2.
,restaurant,337.0,3.9,46.6489913,24.7704414,KAFD,المركز المالي,POINT (46.6489913 24.7704414),حي الغدير,Shake It burger,المركز المالي,اركب المترو من المحطة الحالية، وأخرج عند محطة المركز المالي.
,restaurant,1.0,5.0,46.6872208,24.6206319,Sultanah,سلطانه,POINT (46.6872208 24.6206319),حي الجرادية,Ruba qaali,,
بوفيه طلال الخير,restaurant,10.0,4.6,46.7492371,24.5971224,Transportation Center,مركز النقل العام,POINT (46.7492371 24.5971224),حي المنصورة,,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
بيتزا لذه ساخنة,restaurant,40.0,4.7,46.7951327,24.7796002,Al Khaleej,الخليج,POINT (46.7951327 24.7796002),حي اشبيلية,,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.
,restaurant,552.0,4.0,46.7672741,24.5907616,Al Aziziah,العزيزية,POINT (46.7672741 24.5907616),حي العزيزية,Sultan Delight Burger,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.
,restaurant,14.0,3.6,46.7502389,24.593231,Transportation Center,مركز النقل العام,POINT (46.7502389 24.593231),حي المنصورة,Al Kashaka Restaurant,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
مطعم ريم الرياض البخاري,restaurant,460.0,3.9,46.6676477,24.7466535,King Fahd District,حي الملك فهد,POINT (46.6676477 24.7466535),حي النخيل,,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.
,restaurant,281.0,3.8,46.6627011,24.7586524,Al Murooj,المروج,POINT (46.6627011 24.7586524),حي النخيل,Chick N Bun,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.
مطعم نجم الثريا,restaurant,55.0,4.7,46.613489,24.5785844,Western Station,الغربية,POINT (46.613489 24.5785844),حي العريجاء الغربي,,,
الجرة الحجازية,restaurant,888.0,3.8,46.6315585,24.8135563,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6315585 24.8135563),حي الصحافة,,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.
شجرة عنب,restaurant,150.0,4.8,46.7905475,24.7749133,Al Khaleej,الخليج,POINT (46.7905475 24.7749133),حي اشبيلية,,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.
مطعم ساري البروستد,restaurant,298.0,4.2,46.7656684,24.578663,Al Aziziah,العزيزية,POINT (46.7656684 24.578663),حي الدار البيضاء,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.
,restaurant,47.0,4.4,46.7161375,24.62521,Qasr Al Hokm,قصر الحكم,POINT (46.7161375 24.62521),حي القرى,,قصر الحكم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة قصر الحكم.
&,restaurant,3036.0,3.8,46.7112121,24.6741261,Al Wizarat,الوزارات,POINT (46.7112121 24.6741261),حي الوزارات,Nirala fish Lahori Chana point,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات
,meal_takeaway,242.0,4.0,46.7880601,24.7798813,Al Khaleej,الخليج,POINT (46.7880601 24.7798813),حي اشبيلية,Domino's Pizza,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.
محل لبيع الفول والقلابه والمطبق / وبيع التميس,restaurant,2.0,4.0,46.7088644,24.7552802,An Nuzhah,النزهة,POINT (46.7088644 24.7552802),حي النزهة,,النزهة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة النزهة.
